Unnamed: 0,IA Health,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,FASE,USUARIO,REQUERIMIENTO TÉCNICO,OBSERVACIONES,TIEMPO ESTIMADO,Cristian,Dana,Facundo
,,,,,,,,
,1,"• Carga de documentos (analíticas de laboratorio, informes médicos, escáneres, radiografías, TAC, recetas).
• Extracción y clasificación de datos mediante OCR y visión por computador.
• Explicación de resultados en lenguaje sencillo y amigable.
• Resaltado por colores según severidad (verde = normal, amarillo = atención, rojo = urgencia).
• Generación de preguntas sugeridas para el médico.","• Integración con API de IA (Ollama / OpenAI / Claude) y prompt engineering clínico estructurado.
• Generación automatizada con IA + librerías de gráficos (Chart.js / D3.js) + motor de plantillas PDF.
• Cruce de resultados actuales con analíticas anteriores.","• Desarrollo de software puro: plantillas, gráficos y lógica de comparación.
• No requiere dependencias externas adicionales.
• MVP Fase 1: incluye subida e interpretación con IA, más Informe Premium básico (gráficos y comparativas); la bibliografía de respaldo queda para una iteración posterior.","120 horas (15 días hábiles)
MVP Fase 1",120,,
,1,"• Historial médico digital alojado en la app y en la web (pasaporte de salud QR, ficha de emergencia tipo ""chapa militar"").
• Registro e ingreso de datos biológicos y clínicos (edad, género, antecedentes médicos, enfermedades preexistentes, alergias, medicación habitual).
• Generación de Avatar Digital.","• Base de datos relacional cifrada.
• QR para datos críticos (tipo de sangre, alergias, medicación, informes médicos, contacto de emergencia, donante), accesible sin desbloquear el teléfono.","• QR y ficha de emergencia son funcionalidades estándar.
• Posibilidad de traspasar los datos en visitas médicas o urgencias mediante escaneo del código QR, acceso al portal o API con clave concedida, o visualización en el teléfono del usuario.
• Un familiar cercano puede trasladar los datos a un médico por email o a través de la app; ideal para personas mayores o pacientes con patologías complejas o avanzadas.
• MVP Fase 1: solo historial básico + QR de emergencia. El Avatar Digital queda fuera del MVP y se estimará aparte cuando se retome.","32 horas (4 días hábiles)
MVP Fase 1 (solo básico + QR, sin avatar digital)",32,,
,1,"• Consultas sobre patologías, avances científicos y ensayos clínicos.","• RAG conectado a PubMed, ClinicalTrials.gov y Cochrane.
• Resúmenes en lenguaje comprensible.","• El conector RAG es directo.
• MVP Fase 1: alcance recortado a una sola fuente (PubMed); ClinicalTrials.gov y Cochrane quedan para una fase posterior.","32 horas (4 días hábiles)
MVP Fase 1 (solo PubMed)",,39,
,1,"• Gestión de citas por WhatsApp (mensaje escrito) y cobro de la consulta.
• Directorio de médicos de nuestro cuadro médico, con búsqueda por cercanía o próxima disponibilidad, y posibilidad de videoconferencia.
• Búsqueda y selección de especialistas con derivación inteligente por IA (según las analíticas o la orientación del triaje).
• Agendamiento 24/7 mediante calendario visual o asistente de voz con IA.
• Envío automático al doctor, previo a la cita, del historial médico autorizado.
• Pasarela de pagos integrada para el cobro anticipado de la consulta.","• Pasarela de pago (Stripe/PSE) + comunicaciones (Twilio/Agora/Vapi).
• Calendario con disponibilidad en tiempo real.",• Agendamiento es desarrollo propio; la voz y el cobro dependen de servicios externos consolidados.,120-144 horas (15-18 días hábiles),,78,
,,,,,,152,117,
,,,,,,27 dias,,
,,,,,,Dif 35 h,,
,,,,,,,,
,2,"• Health Score (índice 0-100) por categorías: corazón, metabolismo, inflamación, función renal, hígado, sueño, ejercicio, fuerza y composición corporal.","• Algoritmo de scoring basado en rangos de referencia clínicos, ponderado por categoría.
• Se recalcula con cada nueva analítica.","• El algoritmo y la visualización son directos.
• MVP Fase 1.","32 horas (4 días hábiles)
MVP Fase 1",,,
,1,"• Asistente de IA para triaje y prediagnóstico de síntomas.
• Interfaz de chat que evalúa síntomas en tiempo real, realiza preguntas de seguimiento y genera un informe de evaluación de estilo clínico (posibles diagnósticos, razonamiento y pasos a seguir).","• Chat guiado con preguntas de seguimiento y salida en formato clínico (posibles diagnósticos, razonamiento y siguientes pasos).
• Consulta sobre patologías: buscador/asistente conversacional con IA sobre patologías, literatura médica actualizada, avances científicos y ensayos clínicos en curso.","• El flujo conversacional es viable.
• El prediagnóstico se ofrece únicamente para recomendar un especialista según los síntomas.
• Punto delicado: advertir siempre que no es un diagnóstico médico, sino una evaluación inicial para recomendar el tipo de especialista al que acudir.",96-120 horas (12-15 días hábiles),,,
,2,"• Gestión de citas por voz, y pagos.",,,"80-96 horas (10-12 días hábiles)
Fase 2",,,
,2,• Medicina preventiva y longevidad.,"• Contenido generado por IA con recomendaciones según el perfil del usuario.
• Sección informativa y recomendaciones personalizadas sobre prevención de salud y longevidad.
• Conexión con centros médicos y especialistas (presencial y telemática).","• Generación de recomendaciones contrastadas con informes médicos viables.
• Recomendaciones a clínicas o médicos especializados.",48-64 horas (6-8 días hábiles),,,
,,,,,,,,
,,,,,,,,
,FASE,MÉDICO,REQUERIMIENTO TÉCNICO,OBSERVACIONES,TIEMPO ESTIMADO,,,
,,,,,,,,
,1,"• Directorio médico para dar a conocer sus servicios: fotos, vídeo de presentación, vídeo de la clínica, trayectoria y currículum (opcional; también puede optar por incluir solo sus datos).
• Registro y validación de credenciales (colegiación médica obligatoria).",,• MVP Fase 1: cuenta Premium básica (perfil y directorio). El feed de noticias/resúmenes con IA (fila 18) queda para una fase posterior.,"48 horas (6 días hábiles)
MVP Fase 1 (directorio + perfil básico)",48,,
,1,"• Noticias por especialidad, resumen diario con IA, calculadoras y escalas clínicas.
• Feed de novedades y alertas sanitarias filtradas por la especialidad del médico.
• Resumen diario con IA: boletines matutinos sintéticos de 2-3 minutos de lectura.","• Panel con filtros por especialidad y conector RAG para literatura médica.
• Herramientas clínicas reutilizables.
• Alertas sobre noticias o eventos de interés y traducción automática mediante traductor especializado.",• El panel es directo.,"80-96 horas (10-12 días hábiles)
Fuera del MVP Fase 1 (fase posterior)",,74,
